Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.31.212-183.240.172.2-57758-443-6,192.168.31.212,57758,183.240.172.2,443,6,13/06/2024 09:12,59888516,4,5,4,0,1,1,1,0,0,0,0,0,0.066790768,0.150279229,7486064.5,7991142.398,1.50E+07,10701,4.51E+07,1.50E+07,7472.558665,1.50E+07,1.50E+07,5.99E+07,1.50E+07,98903.41935,1.50E+07,1.48E+07,0,0,0,0,80,148,0.066790768,0.08348846,0,1,0.5,0.527046277,0.277777778,1,0,0,0,9,0,0,0,1,0.555555556,1,0,0,0,0,0,0,0,1,1,1,0,513,19,3,20,11253.25,611.0015685,11965,10701,1.50E+07,93221.78652,1.50E+07,1.48E+07,0
183.240.172.2-192.168.31.212-443-57758-6,183.240.172.2,443,192.168.31.212,57758,6,13/06/2024 09:12,601,1,3,39,0,39,39,39,0,0,0,0,0,64891.84692,6655.574043,200.3333333,242.0791881,479,42,0,0,0,0,0,559,279.5,282.1356057,479,80,1,0,0,0,20,60,1663.893511,4991.680532,0,39,15.6,21.36117974,456.3,1,0,0,1,4,0,0,0,3,19.5,39,0,0,0,0,0,0,0,0,0,0,0,19,512,0,20,0,0,0,0,0,0,0,0,0
192.168.31.212-183.240.172.2-57788-443-6,192.168.31.212,57788,183.240.172.2,443,6,13/06/2024 09:12,59874382,4,5,4,0,1,1,1,0,0,0,0,0,0.066806535,0.150314704,7484297.75,7984515.817,1.50E+07,15200,4.51E+07,1.50E+07,3678.601138,1.50E+07,1.50E+07,5.99E+07,1.50E+07,117932.6895,1.50E+07,1.48E+07,0,0,0,0,80,148,0.066806535,0.083508169,0,1,0.5,0.527046277,0.277777778,1,0,0,0,9,0,0,0,1,0.555555556,1,0,0,0,0,0,0,0,1,1,1,0,515,19,3,20,15771.75,590.5784594,16462,15200,1.50E+07,110157.2296,1.50E+07,1.48E+07,0
192.168.31.212-43.135.181.183-57735-18716-6,192.168.31.212,57735,43.135.181.183,18716,6,13/06/2024 09:12,60473965,8,10,4,48,1,0,0.5,0.534522484,24,0,4.8,10.11928851,0.859874162,0.297648749,3557292.059,6382150.903,1.50E+07,0,5.95E+07,8502382.714,7868728.453,1.52E+07,101949,6.03E+07,6700989.889,7681241.494,1.51E+07,0,0,0,0,0,160,248,0.132288333,0.165360416,0,24,2.789473684,7.487611601,56.06432749,1,0,0,2,18,0,0,0,1,2.944444444,0.5,4.8,0,0,0,0,0,0,2,1,2,12,515,501,3,20,165206.25,330.6119326,165687,164942,1.47E+07,606335.3613,1.50E+07,1.38E+07,0
192.168.31.212-43.135.181.183-57722-18716-6,192.168.31.212,57722,43.135.181.183,18716,6,13/06/2024 09:12,60502739,9,12,4,72,1,0,0.444444444,0.527046277,24,0,6,10.8544084,1.256141478,0.347091724,3025136.95,6001525.754,1.50E+07,0,5.95E+07,7443295.375,7914066.276,1.52E+07,25566,6.05E+07,5497931.636,7349104.872,1.51E+07,0,0,0,0,0,180,288,0.148753596,0.198338128,0,24,3.5,8.348082186,69.69047619,1,0,0,3,21,0,0,0,1,3.666666667,0.444444444,6,0,0,0,0,0,0,2,1,3,18,513,501,3,20,167775.5,740.4658444,168364,166793,1.47E+07,613436.3378,1.50E+07,1.38E+07,0
192.168.31.212-43.135.181.183-57735-18716-6,192.168.31.212,57735,43.135.181.183,18716,6,13/06/2024 09:13,166062,3,1,24,0,24,0,8,13.85640646,0,0,0,0,144.5243343,24.08738905,55354,95732.18854,165896,43,166,83,56.56854249,123,43,0,0,0,0,0,0,0,0,0,60,20,18.06554179,6.021847262,0,24,4.8,10.73312629,115.2,1,0,1,1,3,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,515,0,1,20,0,0,0,0,0,0,0,0,0
192.168.31.212-43.135.181.183-57722-18716-6,192.168.31.212,57722,43.135.181.183,18716,6,13/06/2024 09:13,168182,4,1,24,0,24,0,6,12,0,0,0,0,142.7025484,29.72969759,42045.5,83871.01259,167852,77,330,110,56.29387178,175,77,0,0,0,0,0,0,0,0,0,92,20,23.78375807,5.945939518,0,24,4,9.797958971,96,1,0,1,1,4,0,0,0,0,4.8,6,0,0,0,0,0,0,0,0,0,0,0,512,0,1,20,0,0,0,0,0,0,0,0,0
192.168.31.212-120.46.216.189-57835-443-6,192.168.31.212,57835,120.46.216.189,443,6,13/06/2024 09:12,60125133,16,14,7349,731,1200,0,459.3125,553.760805,510,0,52.21428571,138.226224,134.3863971,0.498959395,2073280.448,5247340.189,1.50E+07,0,4.52E+07,3016589.667,6222823.171,1.51E+07,0,6.01E+07,4621933.385,7200927.86,1.51E+07,0,0,0,0,0,344,340,0.266111677,0.232847718,0,1200,260.6451613,452.9824536,205193.1032,1,2,0,8,29,0,0,0,0,269.3333333,459.3125,52.21428571,0,0,0,8046,12,91711,4,1837,3,182,64240,96,12,20,68074.5,41643.28854,128354,40111,1.50E+07,84920.91264,1.50E+07,1.48E+07,0
192.168.31.212-120.46.216.189-57835-443-6,192.168.31.212,57835,120.46.216.189,443,6,13/06/2024 09:13,1051636,2,1,0,0,0,0,0,0,0,0,0,0,0,2.852698082,525818,686224.5037,1011052,40584,1011052,1011052,0,1011052,1011052,0,0,0,0,0,0,0,0,0,40,20,1.901798721,0.950899361,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,512,0,0,20,0,0,0,0,0,0,0,0,0
192.168.31.212-220.185.184.26-57839-443-6,192.168.31.212,57839,220.185.184.26,443,6,13/06/2024 09:12,61264850,15,19,7366,778,1200,0,491.0666667,571.269947,494,0,40.94736842,124.8009409,132.9310363,0.55496749,1856510.606,4958555.33,1.50E+07,0,6.04E+07,4315815.643,7029510.991,1.51E+07,4,6.12E+07,3401777.389,6408456.808,1.51E+07,0,0,0,0,0,312,452,0.244838598,0.310128891,0,1200,232.6857143,440.6982275,194214.9277,1,2,0,6,33,0,0,0,1,239.5294118,491.0666667,40.94736842,0,0,0,8116,10,35439,3,1841,4,194,64240,25,12,20,106550.25,140718.0353,317572,33772,1.50E+07,25916.72517,1.50E+07,1.50E+07,0
