Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.31.212-14.215.182.211-54933-443-6,192.168.31.212,54933,14.215.182.211,443,6,14/06/2024 07:05:24 下午,30099074,16,18,3997.0,8378.0,1200.0,0.0,249.81249999999997,452.2089810032525,1152.0,0.0,465.44444444444446,527.5138383712816,411.1422165346349,1.129602857549704,912093.1515151515,3625999.87929122,1.4971125E7,0.0,1.5121215E7,1008081.0,3861995.1955149705,1.4968132E7,2.0,3.0091203E7,1770070.7647058824,4978080.473504252,1.5020759E7,0.0,0,0,0,0,392,384,0.5315778153175077,0.5980250422321962,0.0,1200.0,353.5714285714287,494.69380224861646,244721.95798319325,1,2,0,9,33,0,0,0,1.0,363.97058823529414,249.8125,465.44444444444446,0,0,0,12312,15,124154,8,1998,9,4189,64240,1160,6,20,79908.0,103485.07742665123,153083.0,6733.0,1.49696285E7,2116.3705960913367,1.4971125E7,1.4968132E7,NeedManualLabel
192.168.31.212-14.215.182.211-54905-443-6,192.168.31.212,54905,14.215.182.211,443,6,14/06/2024 07:05:21 下午,32936858,33,43,12754.0,15057.0,1200.0,0.0,386.4848484848485,524.4369672093659,1152.0,0.0,350.1627906976745,466.20723627366755,844.3731943101554,2.30744535498802,439158.10666666675,2430896.1738793715,1.5001095E7,0.0,1.7960761E7,561273.78125,2649868.823883634,1.5001095E7,3.0,3.2927761E7,783994.3095238095,3224315.8363923593,1.5010057E7,0.0,0,0,0,0,792,884,1.0019170620342717,1.305528292953748,0.0,1200.0,361.1818181818183,487.83300980411883,237981.0454545455,1,2,0,24,75,0,0,0,1.0,365.9342105263158,386.4848484848485,350.16279069767444,0,0,0,13874,19,18890,11,4251,14,5019,64240,1816,14,20,1484300.0,2086482.6066641437,2959666.0,8934.0,1.4984129E7,23993.54729922193,1.5001095E7,1.4967163E7,NeedManualLabel
192.168.31.212-14.215.182.211-54942-443-6,192.168.31.212,54942,14.215.182.211,443,6,14/06/2024 07:05:24 下午,30146766,9,10,4085.0,560.0,1200.0,0.0,453.8888888888889,548.8819190965496,371.0,0.0,56.000000000000014,121.20047671340058,154.07954538141837,0.6302500241651128,1674820.3333333333,4836278.214888593,1.4976707E7,0.0,1.5160999E7,1895124.875,5279255.866103059,1.4959718E7,4.0,3.0137614E7,3348623.777777778,6603152.173415205,1.5013808E7,0.0,0,0,0,0,192,224,0.2985394851308429,0.3317105390342699,0.0,1200.0,232.25000000000003,419.841558460482,176266.93421052635,1,2,0,6,18,0,0,0,1.0,244.47368421052633,453.8888888888889,56.0,0,0,0,4613,7,31387,4,2042,5,280,64240,1216,6,20,105170.0,135921.47969324054,201281.0,9059.0,1.49682125E7,12013.037105578256,1.4976707E7,1.4959718E7,NeedManualLabel
192.168.31.212-14.215.182.211-54923-443-6,192.168.31.212,54923,14.215.182.211,443,6,14/06/2024 07:05:23 下午,31176213,16,17,6878.0,1380.0,1200.0,0.0,429.875,522.4370935018557,562.0,0.0,81.1764705882353,149.6726575289044,264.88143380339363,1.058499311638652,974256.6562500001,3680003.8836285137,1.5002307E7,0.0,1.6185649E7,1079043.2666666666,3855163.5337787545,1.5002307E7,1.0,3.1165512E7,1947844.5,5097152.092636266,1.5009441E7,0.0,0,0,0,0,356,364,0.5132117874611647,0.5452875241774875,0.0,1200.0,242.88235294117652,408.8238684772699,167136.9554367201,1,2,0,12,32,0,0,0,1.0,250.24242424242425,429.875,81.17647058823529,0,0,0,8257,15,7086,8,3439,8,690,64240,1384,9,20,592596.0,825424.1304553677,1176259.0,8933.0,1.49955105E7,9611.702476668741,1.5002307E7,1.4988714E7,NeedManualLabel
192.168.31.212-14.215.182.211-54943-443-6,192.168.31.212,54943,14.215.182.211,443,6,14/06/2024 07:05:24 下午,30198340,10,12,4106.0,998.0,1200.0,0.0,410.59999999999997,539.5109307923653,328.0,0.0,83.16666666666667,128.45291555722477,169.01591279520662,0.7285168654965802,1438016.1904761905,4503274.3177613625,1.5001856E7,0.0,1.5224523E7,1691613.6666666667,4991747.9045674475,1.5001856E7,7.0,3.018939E7,2744490.0,6053524.8666246515,1.5011551E7,0.0,0,0,0,0,224,264,0.33114402977117285,0.3973728357254074,0.0,1200.0,221.91304347826085,395.28067278413687,156246.8102766799,1,2,0,8,21,0,0,0,1.0,232.0,410.6,83.16666666666667,0,0,0,5072,9,23747,5,2053,6,499,64240,1180,6,20,116174.5,150603.13779101684,222667.0,9682.0,1.49829955E7,26672.77489313776,1.5001856E7,1.4964135E7,NeedManualLabel
192.168.31.212-14.215.182.211-54943-443-6,192.168.31.212,54943,14.215.182.211,443,6,14/06/2024 07:05:54 下午,7492,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.95141484249865,7492.0,0.0,7492.0,7492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,133.47570742124933,133.47570742124933,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,255,1180,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.31.212-14.215.182.211-54926-443-6,192.168.31.212,54926,14.215.182.211,443,6,14/06/2024 07:05:23 下午,31330025,20,26,10525.0,2249.0,1200.0,0.0,526.25,550.7076667439144,297.0,0.0,86.49999999999999,104.88364982207665,407.72390063525324,1.4682401306733717,696222.7777777776,3120261.3529309663,1.5001786E7,0.0,1.6333703E7,859668.5789473684,3428504.1066765436,1.5001786E7,5.0,3.1320231E7,1252809.2400000002,4139504.5759481224,1.5011496E7,0.0,0,0,0,0,436,544,0.6383652742058138,0.8298748564675579,0.0,1200.0,271.7872340425531,424.74605897653265,180409.21461609614,1,2,0,19,45,0,0,0,1.0,277.69565217391306,526.25,86.5,0,0,0,12711,22,9615,10,5262,13,1124,64240,1632,12,20,670778.5,934991.0333070045,1331917.0,9640.0,1.49942335E7,10680.847929822801,1.5001786E7,1.4986681E7,NeedManualLabel
192.168.31.212-14.215.183.214-54939-443-6,192.168.31.212,54939,14.215.183.214,443,6,14/06/2024 07:05:24 下午,30395416,25,31,8933.0,11234.0,1200.0,0.0,357.32,501.9740796760991,1152.0,0.0,362.38709677419354,463.555295329432,663.4882049319542,1.8423830751321186,552643.9272727274,2831184.858352744,1.5007011E7,0.0,1.5415726E7,642321.9166666666,3060316.0449069124,1.5007011E7,4.0,3.0387214E7,1012907.1333333334,3801351.464929797,1.501329E7,0.0,0,0,0,0,608,644,0.82249244425541,1.0198906308767084,0.0,1200.0,353.80701754385956,474.75081578943264,225388.3370927318,1,2,0,17,55,0,0,0,1.0,360.125,357.32,362.38709677419354,0,0,0,20104,26,51014,12,4466,15,5617,64240,1612,11,20,205239.5,278892.1068881298,402446.0,8033.0,1.4992468E7,20566.90783759192,1.5007011E7,1.4977925E7,NeedManualLabel
192.168.31.212-14.215.182.211-54927-443-6,192.168.31.212,54927,14.215.182.211,443,6,14/06/2024 07:05:23 下午,31420692,27,35,13233.0,7797.0,1200.0,0.0,490.1111111111111,534.0818385382621,1152.0,0.0,222.77142857142863,362.3842683991584,669.3041642749307,1.9732219774153925,515093.3114754099,2688759.855564324,1.5004803E7,0.0,1.6435438E7,632132.2307692308,2933141.269693518,1.5004803E7,3.0,3.1411225E7,923859.5588235294,3572461.2642410216,1.5012216E7,0.0,0,0,0,0,588,724,0.8593063450034774,1.113915632411915,0.0,1200.0,333.8095238095238,459.38008218449573,211030.05990783407,1,2,0,23,61,0,0,0,1.0,339.19354838709677,490.1111111111111,222.77142857142857,0,0,0,20967,30,14832,13,6616,17,3898,64240,1816,15,20,716190.0,999901.314499586,1423227.0,9153.0,1.49941555E7,15057.83890536753,1.5004803E7,1.4983508E7,NeedManualLabel
192.168.31.212-14.215.182.211-54933-443-6,192.168.31.212,54933,14.215.182.211,443,6,14/06/2024 07:05:54 下午,1013164,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.948028157336818,337721.3333333334,578010.9169490947,1005135.0,31.0,1005166.0,502583.0,710715.8541977237,1005135.0,31.0,0,0,0,0,0,0,0,0,0,72,20,2.9610211180026136,0.9870070393342045,0.0,0.0,0.0,0.0,0.0,1,0,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,256,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
